Gene	Length	logFC	logCPM	F	PValue	FDR
AT1G58225	792	4.07044864884102	2.27309901922328	254.05216667976	9.80566561024283e-13	8.23421878472568e-11
AT3G57300	5305	-1.16628373028369	7.8784837894231	253.156146498761	1.01292593991373e-12	8.46210861246489e-11
AT4G08850	4162	2.06573617551659	8.28777414184584	254.738082461029	1.02854302462548e-12	8.5057185860076e-11
AT5G09290	1301	4.95621902355534	2.39956086079625	256.782649467864	1.03441357058005e-12	8.5057185860076e-11
AT1G80510	2043	1.35253873143087	4.05508558670521	252.521962214452	1.03653966883387e-12	8.5057185860076e-11
AT3G02520	1643	0.951609399239647	5.9471282539609	252.453131690715	1.03913881657895e-12	8.5057185860076e-11
AT1G23840	1244	3.17418752161885	3.11695906022321	252.582225852898	1.04559525971794e-12	8.51555898203448e-11
AT5G01790	1236	-2.39918368094021	4.01931629852907	251.434895866315	1.0784394750766e-12	8.73913428628321e-11
AT1G34180	2303	3.92913494356598	2.09953903385431	250.059753921837	1.13413765283135e-12	9.14476066638689e-11
AT5G17760	2126	2.45424557573992	3.81864247320387	249.287186082286	1.16681414135765e-12	9.36166177672449e-11
AT2G39518	943	6.15763390883976	1.21338667397343	249.105547312457	1.17464639374617e-12	9.37807591302669e-11
AT5G40780	2287	3.34313791799977	5.4350219579701	279.53805073006	1.21334997250702e-12	9.57180026298102e-11
AT1G52780	3573	1.47117557044191	5.58870132145678	248.100100213463	1.21906217580431e-12	9.57180026298102e-11
AT1G73810	1510	4.94494467693284	1.77784655755716	248.060399860786	1.22085350382938e-12	9.57180026298102e-11
AT2G17220	1896	1.31843905870239	5.58989551568566	248.023189536232	1.22253511102429e-12	9.57180026298102e-11
AT4G05320	2044	1.18733216742524	11.2600493238037	246.992683269737	1.27013454566413e-12	9.89666854883581e-11
AT1G26420	1818	5.8749376267543	2.51594614273059	258.485357356404	1.30296152714278e-12	1.01038743877526e-10
AT1G34210	2554	-1.14139895391331	4.42339142820238	244.923641958944	1.37198986992802e-12	1.05884951532968e-10
AT1G03370	4193	1.32023628569581	5.6534821743523	242.51618630413	1.50197988524199e-12	1.15367715640365e-10
AT1G75410	2788	1.05504766218891	5.91249570871281	242.065561770154	1.52778751229045e-12	1.16606725986309e-10
AT1G21750	2004	1.28883608268178	6.44802374911583	241.954328488098	1.53423282900863e-12	1.16606725986309e-10
AT2G27660	2512	6.95828981829647	4.23962686687476	287.816564567317	1.53969515401185e-12	1.16606725986309e-10
AT2G18680	1166	3.75685436051902	0.857455564748212	240.678338660572	1.61035048308905e-12	1.20852823922528e-10
AT4G21960	1829	-1.44586952068541	10.8340929267079	240.673041626584	1.61067501494824e-12	1.20852823922528e-10
AT2G39360	3207	1.25806272580112	4.83252708761697	239.53921946453	1.68182736495066e-12	1.25610028127905e-10
AT1G59620	3021	1.11094055548734	4.5194618599793	239.136667824126	1.70791628512516e-12	1.26973390977172e-10
AT2G04495	1082	5.18824443890654	1.52829954555757	237.81022171418	1.79708629064941e-12	1.3299259138153e-10
